label                   T0_bottom   T0_mean    T0_top      T0z_bottom   T0z_mean     T0z_top
1x77                    2.7092      2.7262     2.7467      2.7317       2.7547       2.7754 
13x77                   2.7238      2.7292     2.735       2.7424       2.7504       2.7595
1000                    2.7275      2.7321     2.7387      2.7410       2.7600       2.7760 
1e3_02                  -           -          -           2.7224       2.7240       2.7262
2x1e3_02                -           -          -           2.7255       2.7272       2.7288
1e3_005                 -           -          -           2.7246       2.7251       2.7256
2x1e3_005               -           -          -           2.7257       2.7261       2.7266 
